n,d,C11,C12,C44,bulk,shear,youngs,poisson
3,0.1,248.68168899654188,87.06112837615773,62.14332024865305,140.93464858295246,69.61010427326866,179.3090190018233,0.2879525240898158
3,0.2,248.8646329498107,87.64264555026575,78.54204853001602,141.38330801678072,79.3696265979186,200.57585281486712,0.263555477153568
3,0.3,249.503426537198,87.9371265623102,84.05249521654753,141.7925598872728,82.74475712490607,207.81077694122908,0.2557338021279798
5,0.1,249.39628856253844,87.54328552156122,59.272845016409775,141.4942865352203,67.93430761804132,175.68609148390854,0.2930586742099332
5,0.2,248.98722748633296,87.52086353242449,77.20722057220529,141.34298485039398,78.61760513410486,198.96370683530168,0.26538900858091524
5,0.3,249.2649116157994,87.94175238047153,83.14197303491592,141.7161387922475,82.14981566801512,206.54042433455507,0.25709609117827387
7,0.1,248.43599896045143,87.39192919778246,58.36836638343342,141.07328578533878,67.22983378259384,174.04231979930051,0.2943830886308171
7,0.2,248.8927042185464,87.67482506108726,76.65521261511836,141.41411811357364,78.23670340056285,198.1654124793456,0.26644786823878336
7,0.3,249.31093650274593,87.9051258644336,82.84487346906657,141.70706274387103,81.98808620910242,206.19740785745176,0.2574839674362314
avg,avg,249.03753509221835,87.62429800516603,73.58092834292955,141.4287103675168,76.4312044231682,194.2934529288842,0.27103487636516305
